Country Name,GDP Growth
Finland,-2.773576706
Denmark,-2.733288945
Sweden,-2.817819572
Iceland,-6.649105413
Norway,-0.762477535
World,-3.593456238
China,2.3
North America,-3.670536125
United Kingdom,-9.790240362
Euro area,-6.665037116
